Previsional,Echéance,Mensuelle,InitIal,January,February,March,April,May,June,July,August,September,October,November,December
Hypothèque,,,,,,,,,,,,,,,
Capital,Juin,-CHF 2'000,CHF 12'000,CHF 14'000,CHF 16'000,CHF 18'000,CHF 20'000,CHF 22'000,CHF 24'000,CHF 2'000,CHF 4'000,CHF 6'000,CHF 8'000,CHF 10'000,CHF 12'000
Intérêts,"Mars, Juin, Septembre, Décembre",-CHF 664,,CHF 664,CHF 1'329,CHF 1'993,CHF 664,CHF 1'329,CHF 1'993,CHF 664,CHF 1'329,CHF 1'993,CHF 664,CHF 1'329,CHF 1'993
Assurances,,,,,,,,,,,,,,,
Maison,"Juin, Décembre",-CHF 246,,CHF 246,CHF 492,CHF 737,CHF 983,CHF 1'229,CHF 1'475,CHF 246,CHF 492,CHF 737,CHF 983,CHF 1'229,CHF 1'475
Wau-Miau,Juin,-CHF 59,CHF 354,CHF 413,CHF 472,CHF 531,CHF 590,CHF 649,CHF 708,CHF 59,CHF 118,CHF 177,CHF 236,CHF 295,CHF 354
Voiture(s),,,,,,,,,,,,,,,
Tesla,Octobre,-CHF 161,CHF 321,CHF 482,CHF 642,CHF 803,CHF 964,CHF 1'124,CHF 1'285,CHF 1'445,CHF 1'606,CHF 1'767,CHF 1'927,CHF 161,CHF 321
Fiat,Décembre,-CHF 104,,CHF 104,CHF 209,CHF 313,CHF 417,CHF 521,CHF 626,CHF 730,CHF 834,CHF 938,CHF 1'043,CHF 1'147,CHF 1'251
Décès Alain,"Juin, Décembre",-CHF 267,,CHF 267,CHF 534,CHF 801,CHF 1'068,CHF 1'335,CHF 1'602,CHF 267,CHF 534,CHF 801,CHF 1'068,CHF 1'335,CHF 1'602
Décès Martine,Novembre,-CHF 60,CHF 60,CHF 119,CHF 179,CHF 238,CHF 298,CHF 357,CHF 417,CHF 477,CHF 536,CHF 596,CHF 655,CHF 715,CHF 60
Alex RC,Avril,-CHF 11,CHF 86,CHF 97,CHF 108,CHF 119,CHF 129,CHF 11,CHF 22,CHF 32,CHF 43,CHF 54,CHF 65,CHF 75,CHF 86
Personnel Maison,Décembre,-CHF 8,,CHF 8,CHF 17,CHF 25,CHF 33,CHF 42,CHF 50,CHF 58,CHF 67,CHF 75,CHF 83,CHF 92,CHF 100
Médicale,Décembre,-CHF 44,,CHF 44,CHF 88,CHF 133,CHF 177,CHF 221,CHF 265,CHF 309,CHF 353,CHF 398,CHF 442,CHF 486,CHF 530
Oiken,,,,,,,,,,,,,,,
Yallo,,,,,,,,,,,,,,,
Zattoo,Septembre,-CHF 17,CHF 50,CHF 67,CHF 83,CHF 100,CHF 117,CHF 133,CHF 150,CHF 167,CHF 183,CHF 200,CHF 17,CHF 33,CHF 50
Taxes,,,,,,,,,,,,,,,
Voiture(s),Février,-CHF 40,CHF 404,CHF 445,CHF 485,CHF 40,CHF 81,CHF 121,CHF 162,CHF 202,CHF 243,CHF 283,CHF 323,CHF 364,CHF 404
Commune,Février,-CHF 25,CHF 250,CHF 275,CHF 300,CHF 25,CHF 50,CHF 75,CHF 100,CHF 125,CHF 150,CHF 175,CHF 200,CHF 225,CHF 250
Chien,Mars,-CHF 14,CHF 124,CHF 138,CHF 151,CHF 165,CHF 14,CHF 28,CHF 41,CHF 55,CHF 69,CHF 83,CHF 96,CHF 110,CHF 124
Canton,Octobre,-CHF 37,CHF 73,CHF 110,CHF 147,CHF 183,CHF 220,CHF 257,CHF 293,CHF 330,CHF 367,CHF 403,CHF 440,CHF 37,CHF 73
Confédération,,CHF 0,,,,,,,,,,,,,
Frais Banque,,,,,,,,,,,,,,,
Eau & Eaux usées,Juillet,-CHF 71,CHF 356,CHF 427,CHF 498,CHF 569,CHF 640,CHF 711,CHF 783,CHF 854,CHF 71,CHF 142,CHF 213,CHF 285,CHF 356
Sécurité,,,,,,,,,,,,,,,
Entretien & Travaux Voiture(s),Juin,-CHF 81,,,,,,,,,,,,,
Montre(s),,,,,,,,,,,,,,,
Ricardo,,-CHF 95,,,,,,,,,,,,,
MJ Paysages,"Février, Septembre",-CHF 146,CHF 437,CHF 583,CHF 729,CHF 146,CHF 292,CHF 437,CHF 583,CHF 729,CHF 875,CHF 1'021,CHF 146,CHF 292,CHF 437
Catia,,,,,,,,,,,,,,,
Salaire,,,,,,,,,,,,,,,
Caisse Compensation,Février,-CHF 92,CHF 917,CHF 1'008,CHF 1'100,CHF 92,CHF 183,CHF 275,CHF 367,CHF 458,CHF 550,CHF 642,CHF 733,CHF 825,CHF 917
,,,,,,,,,,,,,,,
,,CHF 4'241,CHF 50'893,,,,,,,,,,,,
